|Rk|Player|Nation|Pos|Squad|Age|Born|90s|GA|PKA|FK|CK|OG|PSxG|PSxG/SoT|PSxG+/-|/90|Cmp|Att|Cmp%|Att|Thr|Launch%|AvgLen|Att|Launch%|AvgLen|Opp|Stp|Stp%|#OPA|#OPA/90|AvgDist|Matches|
|1|Alisson|br BRA|GK|Liverpool|29-103|1992|18.0|16|0|0|2|1|15.4|0.32|+0.4|+0.02|82|152|53.9|561|94|20.7|29.3|83|43.4|38.4|127|13|10.2|26|1.44|17.0|Matches|
|2|Kepa Arrizabalaga|es ESP|GK|Chelsea|27-102|1994|1.0|0|0|0|0|0|0.3|0.17|+0.3|+0.34|6|8|75.0|26|6|30.8|30.0|4|0.0|9.3|8|1|12.5|1|1.00|18.8|Matches|
|3|Daniel Bachmann|at AUT|GK|Watford|27-188|1994|10.0|23|3|1|4|1|19.9|0.30|-2.1|-0.21|76|196|38.8|232|38|62.1|47.8|75|69.3|51.6|100|3|3.0|7|0.70|13.6|Matches|
|4|Asmir Begovic|ba BIH|GK|Everton|34-207|1987|1.0|3|0|0|0|1|0.9|0.31|-1.1|-1.08|5|16|31.3|11|2|72.7|50.5|12|66.7|49.6|5|1|20.0|0|0.00|15.0|Matches|
|5|Jack Butland|eng ENG|GK|Crystal Palace|28-309|1993|2.0|5|0|1|0|0|3.6|0.36|-1.4|-0.68|7|31|22.6|57|8|36.8|31.9|21|47.6|40.8|19|0|0.0|1|0.50|13.6|Matches|
|6|Willy Caballero|ar ARG|GK|Southampton|40-107|1981|2.0|5|0|0|1|0|4.3|0.40|-0.7|-0.36|20|39|51.3|46|0|58.7|42.1|13|92.3|59.1|21|1|4.8|4|2.00|22.1|Matches|
|7|Karl Darlow|eng ENG|GK|Newcastle Utd|31-097|1990|8.0|15|2|0|1|1|10.6|0.24|-3.4|-0.42|75|172|43.6|189|29|64.6|49.8|64|78.1|59.8|69|8|11.6|4|0.50|14.9|Matches|
|8|Martin Dubravka|sk SVK|GK|Newcastle Utd|32-363|1989|7.0|15|1|0|2|0|15.5|0.44|+0.5|+0.07|60|160|37.5|175|26|49.7|42.1|81|90.1|62.4|53|3|5.7|3|0.43|12.2|Matches|
|9|Ederson|br BRA|GK|Manchester City|28-149|1993|20.0|13|1|0|1|0|10.8|0.22|-2.2|-0.11|82|134|61.2|500|97|22.0|29.3|82|29.3|34.5|113|11|9.7|21|1.05|16.9|Matches|
|10|Lukasz Fabianski|pl POL|GK|West Ham|36-270|1985|21.0|27|1|1|3|0|28.5|0.30|+1.5|+0.07|130|332|39.2|377|78|57.0|45.2|159|73.6|54.9|195|6|3.1|4|0.19|11.8|Matches|
